token	global_tfidf_sum
استان	24.819748
حمل	24.674210
تام	24.616251
exe	24.554956
سیاح	24.550280
module	24.495074
مجددا	24.408065
read	24.392610
نمایندگان	24.273036
مراجعه	24.255384
برنامه	24.244290
کارمزدهای	24.208322
سوابق	24.069530
found	23.767322
لاتین	23.703910
فراهم	23.535144
روزهای	23.530718
تصویر	23.526216
نگارش	23.427985
راکد	23.392506
branch	23.326803
منشا	23.184799
فزونی	23.056935
MIS	23.012645
پایانه	23.005313
تبصره	22.863615
راست	22.856094
مذاکره	22.812218
تجدید	22.531892
پروفرما	22.492890
بازه	22.486579
درخواستی	22.484422
معدل	22.303662
ir	22.249733
failed	22.190246
تغییرات	22.089536
مشکلات	22.076226
مبدا	22.000976
اعزام	21.956073
توکن	21.881180
مطابقت	21.819590
سوء	21.788090
دعوتنامه	21.766243
بگیرید	21.652265
integer	21.497654
جریمه	21.437227
کسری	21.435102
ذینفعان	21.434796
بخشنامه	21.365794
واریزی	21.349495
نصب	21.282919
کالا	21.169302
access	21.153095
امکانپذیر	21.087654
متن	21.067203
دوره	21.056341
متقاضی	21.041705
سرور	20.992723
واگذار	20.968690
مصرف	20.960882
rest	20.839046
نیازی	20.807139
قرار	20.806299
سابقا	20.799817
بالاتر	20.783768
out	20.767716
نظارت	20.653464
مهلت	20.607397
عدد	20.583961
HRIS	20.562335
رعایت	20.561517
بازرگانی	20.496330
شناسایی	20.434455
بازرسی	20.372108
مغایر	20.358218
عقد	20.184197
تنظیمات	20.132439
بایستی	20.011423
mcb	19.922717
فاصله	19.883914
وب	19.760526
صندوق	19.715311
منشاء	19.652704
ندارید	19.580509
سازمان	19.567343
لاشه	19.449030
قبض	19.418371
درخواستهای	19.343638
سیما	19.268258
ساعی	19.243454
پایه	19.183627
اعضای	19.161705
فیزیک	19.144912
الشرکه	19.137320
درگیری	19.076578
بزرگتر	19.029689
پویا	18.956065
نهایی	18.937295
خروجی	18.839018
پرفراژ	18.810595
بانکها	18.766953
سوئیچ	18.699082
سیستمی	18.681652
قفل	18.580150
بستانکاران	18.575828
فرمت	18.545435
گواهینامه	18.507008
دارنده	18.501965
time	18.335024
مراحل	18.306963
طبقه	18.296189
منابع	18.202377
قبوض	18.118452
کارگزینی	17.947517
بورس	17.935120
مقدور	17.926485
کارشناسی	17.812791
اختصاص	17.789073
بد	17.617184
کلیک	17.597897
اعضا	17.586068
تاسیس	17.529598
بهادر	17.522282
معین	17.471074
اینصورت	17.404255
مناطق	17.401144
عملیاتی	17.278975
شناسنامه	17.223681
برگ	17.219410
can	17.212782
ابطالی	17.205655
ارزش	17.103661
رئیس	17.049476
عامل	16.996827
نگردید	16.981094
سایت	16.956728
مصارف	16.918478
انتظار	16.882199
گزارشی	16.860280
to	16.860131
ایران	16.721489
کلمه	16.718096
کاراکتر	16.712122
get	16.705960
اسکناس	16.676820
فرمایید	16.616020
اعطایی	16.561131
درستی	16.556722
سوخت	16.549698
فراخوانی	16.541682
رتبه	16.424614
ازای	16.396919
قدیم	16.382634
معاون	16.309949
نفر	16.266722
ماده	16.206910
ناظر	16.143080
پذیرد	16.128983
کارگزاری	16.094634
کنترلی	16.093563
درگیر	16.035086
جدول	16.009800
دهی	15.953895
SQL	15.936926
درصورتیکه	15.924791
اتوماسیون	15.921169
شونده	15.898620
سنجی	15.875994
امتحان	15.703202
علل	15.680294
عمومی	15.623235
بدلیل	15.602567
بازگشایی	15.568720
محدودیت	15.527959
پاسخی	15.477235
تست	15.453923
ناشناخته	15.338473
پارامترهای	15.309119
پیامکی	15.235419
execute	15.130113
اداری	15.108249
مستقیم	15.077097
ارکان	15.049712
مشمول	14.916465
on	14.913854
صیادی	14.897638
متصور	14.884586
کشور	14.821118
this	14.778613
اتمام	14.657756
منظم	14.628285
اتصال	14.538830
زدن	14.538122
حسابی	14.531665
انقضاء	14.529183
اقدامی	14.515956
مشکوک	14.495865
invalid	14.393868
مستقل	14.376004
درصورتی	14.214277
https	14.189644
موفقیت	14.177409
driver	14.168164
بازپرداختی	14.158267
جداول	14.151053
شرف	14.135020
مجوزهای	14.125485
انسانی	14.053352
مدارک	14.013277
بازاریابی	13.996494
مسیر	13.928226
قسمتی	13.921484
تسهیلاتی	13.868000
field	13.827393
درپردازش	13.806767
ضامنین	13.794495
سهام	13.780386
an	13.774702
تصاویر	13.770228
سفته	13.764542
socket	13.719596
الی	13.714117
انصراف	13.611446
آزادسازی	13.595973
بلندمدت	13.579705
JDBC	13.575979
بالای	13.558901
ذخیره	13.523528
دشارژ	13.506631
انتخابی	13.465989
www	13.445098
برگه	13.402748
پاس	13.357498
ممیزی	13.356189
عددی	13.305573
اولویت	13.228521
دست	13.168805
اصل	13.163758
الوصول	13.136293
واحدها	13.116391
التزام	13.113830
اضافه	13.105772
آمار	13.068819
برقرار	13.052993
مانا	13.049926
قراردادها	13.019442
http	12.962759
مادر	12.925550
فایلی	12.896248
غلط	12.870266
convert	12.853132
آزاد	12.827402
شایانی	12.821343
جانشین	12.787887
login	12.784118
اختیاری	12.705508
تقلیل	12.694356
پایین	12.682553
تاییدیه	12.674817
variant	12.582840
برات	12.578357
قلم	12.577038
الزامی	12.577023
آینده	12.568858
آبونمان	12.515333
انتشار	12.482204
پیشنهادات	12.467057
قضایی	12.459055
ارشد	12.388916
نبودن	12.372806
ترهین	12.360293
عمر	12.330392
برداشتی	12.320428
قابلیت	12.191015
کلاینت	12.150468
تاخیر	12.144749
موبایل	12.126596
cli	12.115013
be	12.080102
estelam	12.069025
اصالت	12.036965
ازدواج	12.034546
محدوده	12.026366
همخوانی	11.995646
رکورد	11.990636
پالایش	11.905895
گرامی	11.894108
C	11.890134
سنجشی	11.797589
ماهانه	11.791351
esc	11.771933
خط	11.751449
عقود	11.712255
object	11.703095
منتظر	11.673511
مردود	11.655342
or	11.646793
set	11.638641
طریقی	11.636279
متاثر	11.635599
هرگونه	11.595016
چکی	11.582633
موضوع	11.564397
تلفنبانک	11.553826
حوزه	11.552322
اطلاع	11.532902
نباشد	11.522628
متعدد	11.500064
اقتصادی	11.455490
تعرفه	11.342632
امنیتی	11.340876
قادر	11.332047
ولیکن	11.276675
for	11.276269
اختیار	11.253767
تعطیل	11.235280
محیط	11.231437
معوق	11.179255
مساوی	11.163777
نکته	11.145274
سو	11.136873
قراردادی	11.134872
تخصیصی	11.035136
سفید	11.018035
غیرحضوری	11.003959
همزمان	10.976581
ثالث	10.970239
مختلف	10.957377
بهبود	10.942530
برطرف	10.930831
تولد	10.913141
مدیریتی	10.902783
Sp	10.883585
پول	10.860285
صبر	10.855591
رسمی	10.838754
گذشت	10.813829
انفورماتیک	10.775288
صاحبان	10.707503
محلی	10.700108
مستندات	10.697684
نوین	10.654285
ممیز	10.630881
اتصالات	10.598566
point	10.541683
پرینتر	10.497972
and	10.493325
بدین	10.492800
محترم	10.435465
بعدی	10.403318
وزارت	10.361267
غیرمتمرکز	10.347869
رویت	10.331334
سنواتی	10.319181
پذیرندگان	10.317834
فیلدی	10.302975
اطمینان	10.295318
مثال	10.264924
مجوزها	10.243122
حروف	10.241528
مدرک	10.220912
گردید	10.215965
ردیفی	10.200166
قسط	10.199664
مرابحه	10.192291
data	10.179091
تاییدکنندگان	10.170182
سهامی	10.136299
سابقه	10.024386
مقرر	10.006520
زیرساخت	9.991416
جستجو	9.981138
حالت	9.974953
مطالباتی	9.952781
منو	9.931959
floating	9.926534
مجموعه	9.926411
منتقل	9.920478
Esc	9.878880
پردازشهای	9.869937
B	9.866912
حوالجات	9.865391
IBM	9.862763
کوچکتر	9.854468
دستی	9.821141
امضای	9.796102
گمرک	9.774426
خاتمه	9.747851
راهکار	9.747102
اینترنت	9.716164
ارزیابی	9.708745
رییس	9.665156
دفعات	9.653909
بانام	9.641394
اقامت	9.635970
پاسخگویی	9.635908
قالب	9.628717
فرمایند	9.626200
db	9.600552
فرآیند	9.576027
موفق	9.530933
بازدارنده	9.509277
internal	9.478744
وابستگی	9.468773
صمت	9.465566
ادارات	9.395613
بلاتکلیف	9.379130
آبی	9.377140
کارشناس	9.376545
نشان	9.360667
تعهدنامه	9.342715
خودکار	9.305715
ادغام	9.301729
otp	9.286979
جاب	9.278955
n	9.274012
مسافرتی	9.259070
خواست	9.251484
نوار	9.224497
portal	9.221809
میتوان	9.210423
مزبور	9.153861
شرط	9.147308
آماده	9.141479
date	9.139430
الصاق	9.130833
مکاتبه	9.106163
پیشنهادی	9.103415
توضیحات	9.094840
تعهد	9.082173
جایگزین	9.063176
خریدار	9.058651
احتساب	9.029223
OTP	9.021847
اخطاریه	9.013154
کاربره	8.933255
شریک	8.920094
رقمی	8.909883
مطالبه	8.900577
file	8.887133
معنی	8.871849
انتقالات	8.835444
تعدادی	8.833408
اطلاعت	8.816976
اندازه	8.799849
زنجیره	8.799676
نما	8.785308
کارشناسان	8.776215
تجمیعی	8.727162
نزد	8.726117
مقادیر	8.716640
ضمنا	8.712647
فوتی	8.712299
تکلیفی	8.701162
دیجیت	8.685220
فهرست	8.661098
موعد	8.639195
عبارت	8.587715
تعلق	8.585355
null	8.571240
نادرست	8.555615
نشدن	8.553410
کاهشی	8.543951
اصلاحیه	8.523245
Back	8.513655
هویتی	8.510271
ستون	8.479421
ادغامی	8.479171
ابزارهای	8.471265
مالکیت	8.446621
application	8.445330
مشکلی	8.425126
ممنوع	8.415548
پایداری	8.406818
دسترس	8.401397
تطابق	8.393247
اعم	8.374486
call	8.342221
متعهد	8.319156
اعتبارسنجی	8.315874
پرداختی	8.315345
پوشش	8.310571
پست	8.294278
ماندگاری	8.287045
دارندگان	8.276592
مرورگر	8.275195
هویت	8.224932
ساختار	8.221793
تحول	8.216482
تجربه	8.057408
قید	8.032317
مهر	8.003306
کارمزدی	7.959450
تکمیلی	7.957098
پذیرش	7.954338
تک	7.927096
نداشته	7.925752
قطع	7.882509
سهامدار	7.872724
نبوده	7.872020
no	7.780486
فیلدهای	7.768945
اصلاحات	7.754835
قصد	7.733566
سلف	7.732576
unlock	7.711007
ایمیل	7.705362
تعدد	7.684543
دلایل	7.669284
گذرنامه	7.569285
کارتی	7.534135
سمات	7.526025
نهایت	7.525737
طرفین	7.489352
روزنامه	7.479967
سر	7.456209
سندی	7.446310
exception	7.411586
مقداردهی	7.397620
ازطریق	7.386012
sp	7.381338
service	7.378412
پین	7.362573
ناشر	7.358997
محجور	7.350910
استمهال	7.344885
فقره	7.341532
closed	7.325010
عمره	7.319639
زودتر	7.317361
زنده	7.304601
تسک	7.285912
شاپرک	7.236296
افزوده	7.203049
Office	7.184315
بستام	7.173855
واحدهای	7.173280
مصوب	7.171160
سرگروه	7.138418
فرانام	7.135441
Access	7.094190
specified	7.083458
محدود	7.080363
پد	7.060609
ip	7.048869
اختصاصی	7.022855
گردند	7.014342
ثانوی	7.013430
کش	7.012805
حق	7.004223
شارژهای	6.984562
sql	6.947709
چپ	6.914070
سیاه	6.889054
رمزدار	6.887938
کیف	6.875798
اشتباها	6.854998
into	6.845943
وصولی	6.839386
ماهیت	6.838001
کدپستی	6.816773
ibm	6.779160
جزء	6.770775
اعضاء	6.750631
بدهکار	6.743501
کارمندی	6.723145
perform	6.701461
هدف	6.684855
پذیر	6.683310
مضمون	6.673863
قبول	6.651696
آگهی	6.598417
جامع	6.597476
نارنجستان	6.594894
مدیر	6.542463
حسب	6.533364
مبنی	6.531993
میلیون	6.527686
درحال	6.526229
متوفی	6.499755
صادرکننده	6.499660
ادعای	6.499561
گام	6.498602
response	6.466925
عام	6.455190
focus	6.452016
تضمین	6.441279
SSO	6.437086
نتیجه	6.431804
خودپردازها	6.426571
جزئیات	6.400766
قانون	6.393449
مشتریانی	6.386594
معاونت	6.384559
سوالات	6.363381
شبکه	6.346681
مضاربه	6.344362
ilenc	6.319747
ایرانی	6.290403
فسخ	6.275212
تیکتینگ	6.265515
net	6.257880
تضمینی	6.250786
معادل	6.243571
وکالتی	6.238813
معتبری	6.215876
BM	6.214957
مفرده	6.213885
امضاداران	6.209859
خالص	6.193124
عودتی	6.183938
کدرهگیری	6.176043
جمله	6.175411
statement	6.172636
رکوردی	6.172267
دفاتر	6.170861
امهالی	6.168553
IP	6.153428
میلیارد	6.151954
گزارشگیری	6.127516
شرکتهای	6.101375
مبداء	6.084771
بخشودگی	6.081559
name	6.075145
لزوم	6.072206
محچک	6.070300
قدیمی	6.069717
احراز	6.049583
آمایش	6.033258
system	6.023861
حین	6.016676
loan	5.999705
لس	5.996987
همکاران	5.990839
code	5.983301
تراکنشهای	5.960786
اصلاحی	5.957712
HTTP	5.944856
پورتال	5.932223
تدبیرگران	5.920367
جابجایی	5.920230
نامشخص	5.917043
has	5.912389
استخراج	5.896738
N	5.894887
کندی	5.867004
ایجادی	5.857758
منجر	5.854285
پیامهای	5.853718
سطح	5.848511
سینپ	5.835359
سوییچ	5.832664
سن	5.816169
واگذارشده	5.812701
مهان	5.802811
قراردادهایی	5.778088
بعنوان	5.777498
opr	5.770215
فرزند	5.746303
تلاش	5.737281
A	5.720809
یکسال	5.719922
اعلامی	5.715609
ساعات	5.701289
واریزهای	5.700743
ابتدای	5.680487
وثائق	5.666020
unavailable	5.639593
مردودی	5.636927
گیرندگان	5.582540
کمیته	5.576429
نگردد	5.575429
بستانکار	5.559942
memory	5.549165
پروانه	5.508349
پردازشی	5.493009
نهاب	5.486544
رهنی	5.486306
یکجا	5.471802
جداگانه	5.460967
ضمائم	5.430652
اسکنر	5.418201
v	5.416088
منتخب	5.396171
مواردی	5.387775
مرسوله	5.386058
تشخیص	5.384590
J	5.377277
فوت	5.356095
نشود	5.331818
ساعتی	5.301199
موثر	5.297894
هماهنگی	5.287044
بمانید	5.262284
خسارت	5.253266
منحصر	5.250391
مرور	5.242399
مراتب	5.241808
خواهشمند	5.175923
حرف	5.165336
افزاری	5.163485
سخت	5.163485
اتباع	5.157559
استمهالی	5.152914
جلوگیری	5.122799
درجه	5.104767
کدکاربری	5.104240
پلاس	5.094367
بدیهی	5.091550
چندین	5.075928
ضمانت	5.069518
syntax	5.062253
دهید	5.056220
ساختمان	5.044587
pbn	5.043965
ssaa	5.043926
درسامانه	5.014635
باربری	5.006094
ملتی	5.004694
فیش	5.001794
جزو	4.967216
انتهای	4.967142
unspecified	4.949811
سالیانه	4.938857
your	4.937156
بالعکس	4.909662
اعشار	4.901355
window	4.896212
dmn	4.881193
برنچ	4.872603
پیوست	4.868820
مرتبه	4.866775
صغیر	4.866444
close	4.865485
تفصیلی	4.865063
بایگان	4.865034
عدالت	4.855942
آتی	4.849003
خواندن	4.846952
طرفه	4.841807
Tab	4.835145
واگذارنده	4.822875
نقص	4.821109
مشترک	4.819103
باقیمانده	4.810408
وارداتی	4.805779
بغیر	4.798637
هشدارهای	4.761349
گوشه	4.750368
معمولی	4.719993
خطاها	4.714194
named	4.712635
socked	4.702961
شبانگاهی	4.700203
last	4.698749
وابسته	4.693633
site	4.691180
disable	4.685207
خروج	4.682357
نویسی	4.675565
آنلاین	4.675179
پایش	4.670831
فارسی	4.660155
محب	4.656655
اعلامیه	4.644566
سهمیه	4.631634
شهر	4.617783
فرعی	4.605224
برابری	4.601906
نوبت	4.585015
پذیرنده	4.575337
شوید	4.574599
کارتها	4.574047
مظنون	4.565329
پذیره	4.552047
پاک	4.549410
reset	4.545619
اکسل	4.544829
تدریجی	4.539885
callable	4.535497
گرفتن	4.533198
موردنیاز	4.511363
عبارتی	4.510678
تهاتر	4.502349
تفضیلی	4.490615
درخواستها	4.486385
مثلا	4.479901
شرکتی	4.479443
منفی	4.477709
cannot	4.476910
دوبار	4.473238
حکم	4.469513
lock	4.461426
داری	4.444542
کدنوع	4.435453
بوسیله	4.423790
له	4.409580
سوال	4.404857
صادراتی	4.399630
ایا	4.398022
فرایند	4.381582
فرآیندی	4.380460
ح	4.377054
دارید	4.361525
غیرثبتی	4.360533
مالک	4.348434
پارامترها	4.340765
ESC	4.337156
تمهیدات	4.322121
مورخ	4.311862
لحظه	4.311357
bankmellat	4.300112
نداشتن	4.289584
فاکتور	4.287877
reference	4.285350
آورنده	4.281945
مشخصه	4.266712
from	4.263779
کارانه	4.257883
مشروط	4.252308
mis	4.225663
مبنای	4.219614
شاغل	4.217815
پیشینه	4.215565
component	4.202714
ضمیمه	4.202049
پیامی	4.197995
رابطه	4.164719
سکه	4.164614
معنای	4.158849
فیزیکی	4.150708
چاپگر	4.143063
create	4.124769
back	4.122307
اکثر	4.112515
رسیدگی	4.108002
شتاب	4.102677
نداشت	4.100992
خودداری	4.095247
پوشه	4.088853
fgisrim	4.082927
زمانیکه	4.076177
ر	4.071187
general	4.071131
بنام	4.066263
ثابت	4.062220
حضور	4.055070
اینترانت	4.044920
دانا	4.036690
ملزم	4.031967
وام	4.019528
یارانه	3.984326
cashless	3.973565
cash	3.971035
حفظ	3.964652
سالانه	3.957255
احکام	3.954140
مرتفع	3.948679
منوط	3.947513
sso	3.945085
سپه	3.942441
طولانی	3.934920
CTR	3.929356
batch	3.920106
تاریخی	3.903585
ادمین	3.896093
دقیقه	3.857892
y	3.840799
مندرج	3.840390
مقطع	3.819037
خشکسالی	3.813015
دارا	3.808438
معاملات	3.806914
ناخوانا	3.790290
هوشمند	3.789875
همانند	3.786914
توزیع	3.780242
سطر	3.746091
پبغام	3.738261
مشابه	3.729357
ا	3.728970
پایای	3.727167
توسعه	3.692000
سحابی	3.673435
متناسب	3.653076
لاگین	3.646685
قبیل	3.644860
رفاهی	3.638573
دوبله	3.635277
CLI	3.632965
راکدسازی	3.612652
محصولات	3.608496
اوج	3.600409
نیازمند	3.589116
معنا	3.574041
فراوری	3.569620
پذیرفته	3.567727
بهنگام	3.564266
ترکیبی	3.562708
visible	3.561748
resource	3.552689
راهکاری	3.547479
مدتی	3.544800
DST	3.543258
باتوجه	3.539122
start	3.536549
ذیربط	3.531672
بجز	3.513288
روتوتایپ	3.510581
کنونی	3.499270
پاسخگو	3.486711
چکها	3.476612
user	3.462757
حقوق	3.457359
