ngram	global_tfidf_sum
مرحله	43.499706
نشده	43.325588
اسنادی داخلی بانکی	43.083497
پردازش ستاد	43.039715
مربوطه	42.903191
نسخه	42.814328
ریز عملکرد	42.581318
اطلاعات شماره درخواست	42.495329
فایل	42.317304
سامانه بایگانی	42.213806
نقدی	42.030805
فاقد	41.941783
شماره شماره	41.888704
شماره دریافت پردازش	41.780331
قرارداد شماره	41.587428
کارت پیغام	41.091802
اعطای	41.051567
پردازش چاپ	41.048414
حذف	40.604992
صورت ناقص	40.552047
پردازش گزارش استعلام	40.489119
گواهی	40.434492
پردازش مرکز	40.404008
حساب مبلغ	40.188660
صورت ناقص اشتباه	39.937104
تماس	39.879009
معرفی	39.868559
سامانه بانکداری اینترنتی	39.863197
اطلاعات کاربران	39.833467
شناسه صیاد	39.816254
شماره قرارداد شماره	39.701348
پردازش ثبت درخواست	39.601811
صدور چک	38.792277
کارت پیغام خطای	38.718821
اشتراکی	38.625569
استعلام ثبت	38.578635
طریق سامانه بک	38.521710
استعلام مشتریان	38.487656
bm	38.376175
درخواست حواله پایا	38.245192
اخذ	38.166591
درخواست شماره	38.135620
چک سامانه	38.083532
پردازش واریز	38.052454
ریالی	38.051331
وضعیت استعلام	38.040726
جهت دریافت	38.021612
اطلاعات صورت	37.961412
اشکال	37.915757
کد تسهیلات	37.872125
مبلغی	37.868655
تعریف	37.785007
کدملی	37.750231
منوی	37.714441
پیچک	37.584220
ثبت صورت رفع	37.445496
معتبر	37.424666
قانونی	37.298794
بایگانی الکترونیک	37.292491
میسر	37.242826
دستگاه	37.152692
گزارشات	37.104118
خارجی	37.084868
سامانه بایگانی الکترونیک	37.027599
پردازش گزارش ریز	36.879710
پردازش بروزرسانی مشتری	36.855923
الکترونیک اسناد	36.826463
همراه بانک	36.791085
صفحه اصلی	36.740805
ثبتی	36.674015
بایگانی الکترونیک اسناد	36.549563
باکس	36.544042
صادر	36.516763
ارتباط	36.346489
پیامک	36.254646
نموده	36.107579
درخواست صدور	36.062182
وضعیت قرارداد	36.049207
بانکی پیغام	36.026826
خطای اشکال	35.973450
پیغام خطای اشکال	35.973450
نمایند	35.840715
فرم	35.830670
اطلاعات صورت ناقص	35.760736
ریال	35.699315
درخواست کارت	35.659508
پردازش دریافت	35.581074
بانکی پیغام خطای	35.280607
اطلاعاتی	35.273880
کوتاه	35.125900
صاحب حساب	35.098519
error	35.015807
چک پیغام	34.999077
بررسی رفع	34.984777
پژواک	34.914533
سامانه پیچک	34.891290
حساب شماره مشتری	34.827732
بررسی رفع مشکل	34.784433
صورت ریز	34.723281
اطلاعات کد کاربری	34.698985
بستن	34.692526
سامانه تسهیلات	34.657712
چاپ مجدد	34.527003
آنی کارت	34.438431
پردازش افتتاح	34.428209
سیتواسیون	34.398186
صورت بررسی رفع	34.356950
شماره پرسنلی	34.339973
اشخاص	34.306752
سپام	34.297915
چکهای	34.215824
استعلام ثبت احوال	34.119518
اعطای تسهیلات	34.116310
پردازش برداشت	33.819803
مرحله دریافت	33.779795
عنوان	33.731728
چک پیغام خطای	33.704963
قسمت	33.604524
پیغام خطا	33.569690
چک سامانه پیچک	33.473953
کارتابل	33.449284
نام کاربر	33.447809
پردازش پیشنهاد	33.441468
پردازش پرداخت	33.434532
کلر	33.334970
نشد خطای	33.267621
ضامن	33.145351
کد کاربر	33.114611
درخواست پیغام	33.025446
نشد خطای شماره	33.003607
گزارش ریز عملکرد	32.942602
کارت اعتباری	32.889330
اطلاعات شماره شماره	32.840341
F	32.800628
نقش کاربر	32.790954
کلید F	32.729933
خطای مبلغ	32.720925
گردیده	32.575886
پیغام خطای مبلغ	32.567356
ضمانتنامه پیغام	32.532525
بروزرسانی مشتری حقیقی	32.531411
مشتریان حقیقی	32.459321
نماینده	32.396785
چک برگشتی	32.379000
درخواست پیغام خطای	32.330248
اوراق بهادار	32.219377
بهادار	32.219377
اصلی سامانه	32.106390
صفحه اصلی سامانه	31.992085
نماید	31.959693
شماره دریافت طریق	31.946247
حسابها	31.928501
پردازش بازپرداخت	31.897786
X	31.816669
مانده انتقالی	31.726147
پردازش پیغام	31.715998
جهت بروزرسانی	31.707976
اطلاعات نشد	31.688773
پاسخ استعلام	31.679091
تبادل	31.623008
خالی	31.545593
خطای اطلاعات نشد	31.480753
ضمانتنامه پیغام خطای	31.266514
نمود	31.144764
نرخ	30.973307
اقدام مطابق	30.862862
مرکز گزارش	30.738094
درخواست تسهیلات	30.690014
پشتیبانی سامانه	30.680299
شماره درخواست شماره	30.623413
تراکنش	30.622917
پردازش افتتاح حساب	30.599746
نمایید	30.514782
مسدودی رفع	30.471721
پردازش تایید	30.467388
لطفا	30.458210
طریق اقدام مطابق	30.394801
استعلام شماره	30.388458
اساس	30.287021
F صفحه	30.269995
F صفحه اصلی	30.269995
کلید F صفحه	30.269995
رفع مسدودی	30.256535
بروزرسانی گروه	30.129439
بروزرسانی گروه فنی	30.129439
جهت بروزرسانی گروه	30.129439
مانده بدهی	30.119856
حساب پیغام	30.118256
جهت مشاهده	30.098395
کد شهاب	29.832592
اصلی سامانه بانکداری	29.779976
پردازش ثبت قرارداد	29.773512
ساتنا	29.595075
وصول	29.576159
دریافت بررسی	29.404556
حساب پیغام خطای	29.360830
تقسیط	29.335375
دریافت وضعیت	29.304419
بررسی صورتیکه	29.298132
بانک ملت	29.293927
ثبت درخواست حواله	29.293310
دسترسی	29.281165
نمودن	29.214442
کسر	29.099137
خطا دریافت	29.095928
پردازش پیغام خطای	29.088596
سامانه همراه	29.043989
پردازش معرفی	29.005245
عملکرد قرارداد	28.985997
ریز عملکرد قرارداد	28.871784
سامانه همراه بانک	28.865684
مسدود	28.865316
خلاصه	28.798940
اموال	28.782472
ریز مسدودی	28.756036
صورت ریز مسدودی	28.756036
اطلاعات موجود	28.685522
تاریخچه	28.596620
خطای حساب	28.550511
پیغام خطای حساب	28.550511
بلند	28.518191
مشتری شماره حساب	28.517864
جام ثبت	28.450442
ریز مسدودی رفع	28.445268
بروزرسانی استعلام	28.441489
ثبت اسناد	28.418437
جهت اصلاح	28.350946
متمرکز جام ثبت	28.317829
تسهیلات متمرکز	28.292490
وضعیت کارت	28.283597
قرارداد پیغام	28.153278
اقدام صورت	28.114232
پردازش کارتابل	28.103937
تاریخ سررسید	28.051878
پردازش اعطای	28.014574
خطایی	27.978142
پردازش درخواست صدور	27.954410
مجدد پیشنهاد	27.944742
موجود خطای	27.932267
موجود خطای شماره	27.932267
بستن حساب	27.918886
فرابانک	27.895145
اقدام مطابق اطلاعیه	27.853682
حسابها مشتریان	27.853476
گزارش حسابها	27.853476
گزارش حسابها مشتریان	27.853476
مسدودی رفع مسدودی	27.784911
گزارش اطلاعات	27.778965
نقد	27.776344
خطای اطلاعات موجود	27.774852
مشتریان بانک	27.767410
صرفا	27.716830
نمایش پردازش	27.625802
پردازش اعطای تسهیلات	27.619736
مشتریان بانک مرکزی	27.446517
تصویب	27.442834
پردازش صورت	27.425113
سال	27.406030
شماره حساب مبلغ	27.337198
درخواست طریق	27.331704
حساب مشتری	27.320124
شرکت	27.297107
استعلام چک	27.212645
صدور حواله	27.118059
نشد دریافت	27.114987
گزارش پیگیری	27.114647
قرارداد بررسی	27.006947
جام ثبت صورت	26.993834
خطایی دریافت	26.960541
طریق پردازش بروزرسانی	26.947239
کارت شماره	26.941743
چاپ مجدد پیشنهاد	26.940841
دریافت کلید	26.939716
سامانه تسهیلات متمرکز	26.936795
انتظامی	26.889101
تنظیم	26.851058
کارت طریق	26.820546
حساب تاریخ	26.817456
کاری	26.791246
شایان	26.786638
قرارداد پیغام خطای	26.781010
پردازش درخواست پیغام	26.745184
طرح	26.728076
درخواست چک	26.723398
هنگ	26.680318
جهت برگشت	26.607315
دریافت مطابق	26.494835
حاضر	26.473093
پردازش اطلاعات	26.419058
مغایرت	26.404575
حسابهای	26.357232
شارژ	26.356872
سرفصل	26.336215
گزارش استعلام مشتریان	26.262359
دستگاه خودپرداز	26.245428
جام پیغام	26.134031
ارائه	26.023959
پردازش صورت ریز	26.019579
پیگیری درخواست	26.016460
وضعیت حساب	25.969887
پیگیری درخواست کارت	25.967919
تخفیف	25.907016
گزارش پیگیری درخواست	25.904878
اوراق بهادار الکترونیک	25.803768
بهادار الکترونیک	25.803768
فروش ارز	25.726411
Branch	25.693955
دریافت شماره	25.663212
صدور کارت	25.624296
پایا پیغام	25.600612
کارت بررسی	25.584652
ATM	25.570140
واگذاری اسناد	25.529948
مبلغی شرح	25.506850
سیستم هنگ	25.485128
رفع انسداد	25.464712
سامانه Branch	25.424144
اطلاعات نشد خطای	25.420608
نمایید دریافت	25.405879
پایا پیغام خطای	25.385601
رهگیری	25.347807
هنگ نموده	25.346708
صدور ضمانتنامه	25.235805
اطلاعات شماره کارت	25.223308
حواله پایا پیغام	25.166100
تعهدات	25.161544
مشکل جهت بروزرسانی	25.155223
دریافت کلید F	25.084723
خطای مشتری	24.934024
پیغام خطای مشتری	24.934024
خودپرداز ATM	24.917906
نموده خطایی	24.907244
نموده خطایی دریافت	24.907244
هنگ نموده خطایی	24.907244
شماره مرحله	24.869688
مشارکت	24.827220
شماره مرحله دریافت	24.786605
جام پیغام خطای	24.754061
تسهیلات پیغام	24.695372
خطای شماره مرحله	24.684254
اسکن	24.648965
تحویلداری	24.637628
کد رهگیری	24.619577
کارتهای	24.590218
شعبه گزارش	24.553573
سیستم هنگ نموده	24.542264
کاربری شماره	24.530343
موارد رفع	24.512037
قبلی	24.499662
خطای کد	24.472403
حداکثر	24.447042
مطالبات	24.435937
کد کاربری شماره	24.433835
موارد رفع مشکل	24.383944
شماره حساب تاریخ	24.373237
پردازش برگشت	24.349046
پردازش بروزرسانی استعلام	24.336322
ملی شناسه	24.326589
کاربران تسهیلات	24.260313
دریافت مطابق اطلاعیه	24.237552
خیر	24.189301
چیست	24.188710
پیغام خطای کد	24.162254
استعلام کد	24.153587
مراجع	24.109805
کارتابل کاربران	24.083752
کارتابل کاربران تسهیلات	24.083752
شماره پیشنهاد	24.006088
پردازش کارتابل کاربران	23.998169
گزارش وضعیت استعلام	23.994659
دریافت اطلاعات	23.956402
ورود سامانه بانکداری	23.945226
پردازش گزارش حسابها	23.937261
شماره انتظامی	23.898170
تسهیلات پیغام خطای	23.889559
ملی شناسه ملی	23.868496
حساب بررسی	23.859738
روزانه	23.839615
x	23.834641
بررسی موارد	23.827158
انتقال وجه	23.770854
قبلا	23.770013
مقصد	23.646225
زمان	23.632266
کمتر	23.616838
کد ملی شناسه	23.588464
is	23.568793
سرمایه	23.435568
مکانیزه	23.414818
اطلاعات موجود خطای	23.358277
تسهیلات کد	23.321039
پردازش مشخصات	23.299893
کدملی شناسه	23.287163
پردازش مذکور	23.285452
سریال شماره	23.257786
تامین	23.212476
مصوبات	23.184258
خدمات الکترونیک	23.156410
پردازش واگذاری	23.076195
صورت بررسی موارد	23.047106
پردازش انتقال	23.036203
وثایق اموال	23.006047
متمرکز پیغام	22.958127
بررسی موارد رفع	22.956176
پردازش واگذاری اسناد	22.906946
اعتبار حساب	22.855109
متمرکز جام پیغام	22.846237
طریق سامانه وندیا	22.829548
استعلام بانک	22.795356
دستگاه خودپرداز ATM	22.787738
اطلاعات مشتری	22.778787
صادره	22.766224
اعتبارات	22.754022
دلیل	22.738535
درصد	22.702420
کدملی شناسه ملی	22.701565
پردازش ابطال	22.685281
مشاهده اطلاعات	22.665078
پردازش صدور چک	22.642114
تنظیم پیشنهاد	22.606284
ساعت	22.605335
واحد جهت	22.538224
اطلاعات کد کاربر	22.511491
خطای دریافت	22.500701
ابلاغ	22.484090
صفر	22.457577
address	22.368410
itsm	22.338869
itsm bm	22.338869
لغو	22.327813
کاربری شماره همراه	22.317036
هزینه	22.313420
ملی ذینفع	22.299184
سازمانی	22.252078
امتیاز	22.248036
صدور آنی	22.216266
خطای چک	22.169359
کاربر لاک	22.166791
گزارش تاریخچه	22.157518
صدور مجوز	22.136839
استعلام بانک مرکزی	22.124026
سری سریال شماره	22.108566
اسناد کلر	22.093520
خزانه	22.081717
مرتبط	22.081471
مرکز شعبه	22.030779
پیغام خطای چک	22.008564
آخر مبلغی	22.003138
گردش آخر مبلغی	22.003138
مشتریان ثبت	21.951306
اعطا	21.941349
c	21.926064
نامعتبر	21.921427
حساب طریق	21.890225
اسناد کلر چکاوک	21.887559
کلر چکاوک	21.887559
امهال	21.877357
واحد جهت بررسی	21.859523
مبلغ تاریخ	21.841665
پردازش مرکز شعبه	21.838481
توسط کاربر	21.821154
واگذاری اسناد کلر	21.790966
تسهیلات فرابانک	21.719578
اینترنتی پیغام	21.684788
داخلی بانکی پیغام	21.657128
مرکز شعبه گزارش	21.634998
مقدار	21.592833
واگذاری چکاوک	21.588749
استعلام مشتریان ثبت	21.556291
مشتریان ثبت احوال	21.556291
صدور چک بانکی	21.521735
مشتریان حقوقی	21.492296
اقلام	21.475354
برداشت حساب	21.463051
منقضی	21.450872
مشتری شماره درخواست	21.429935
معرفی وثایق	21.419833
سریال شماره حساب	21.409062
واریز پیغام	21.400585
تولید	21.395936
of	21.395917
تسهیلات کد تسهیلات	21.387172
اجباری	21.361175
اینترنتی پیغام خطای	21.359777
واریز پیغام خطای	21.302748
معتبر دریافت	21.299183
سامانه وندیا itsm	21.292366
وندیا itsm	21.292366
وندیا itsm bm	21.292366
توجه	21.286747
نشد دریافت جهت	21.267608
پردازش تحویل	21.255285
نامه	21.238277
انتقالی کاربر	21.225948
غیرفعال	21.201181
اطلاعات شماره پرسنلی	21.169105
بروزرسانی اطلاعات	21.163659
پردازش معرفی وثایق	21.162274
ملی شماره	21.141948
فعالسازی	21.137868
مرحله دریافت جهت	21.125332
قطعی	21.111568
چکاوک پیغام	21.103107
حسابداری	21.084300
مشتری کد	21.052061
متمم	21.033868
رد	20.980586
تصویب پیشنهاد	20.979945
درج	20.973162
تاریخ مبلغ	20.961888
معرفی وثایق اموال	20.944375
بسته	20.933932
پردازش درخواست تسهیلات	20.928089
پردازش چاپ مجدد	20.920877
ثبت قرارداد پیغام	20.866872
تمبر	20.844454
تحریر	20.828226
حساب وضعیت	20.819343
درخواست صدور آنی	20.819133
آخر مبلغی شرح	20.795724
حاصل	20.793845
مستند	20.774842
وصول اقساط	20.774772
دریافتی	20.772235
کارگزار	20.739089
واحد سازمانی	20.734692
بررسی نمودن	20.626983
حساب بلند	20.608022
ورود شماره	20.587524
خدمت	20.582316
استعلام شماره حساب	20.525434
کاهش	20.432275
اسناد پیغام	20.427526
اصلاح شماره	20.420544
اعلام	20.379669
متمرکز پیغام خطای	20.364839
یکبار	20.346931
اطلاعات دریافت	20.337388
درخواست طریق سامانه	20.311303
دولتی	20.279843
پردازش بستن	20.251310
بازپرداخت وصول	20.216750
بازپرداخت وصول اقساط	20.216750
گیرنده	20.212683
دستور	20.171545
انجام عملیات	20.099365
زمانی	20.091382
ذیصلاح	20.090204
خام	20.076017
انقضای	20.026042
مراجع ذیصلاح	20.000088
حساب کد	19.983772
تایید تایید	19.960892
شبا	19.958334
قرارداد شماره مشتری	19.896664
چکاوک پیغام خطای	19.873525
تبادلات	19.858950
چاپ تحویل	19.850492
پردازش اطلاعات کاربران	19.786335
المثنی	19.761914
روابط	19.741161
نگردیده	19.735970
عبور	19.685464
گزارش وضعیت قرارداد	19.666762
مذکور جهت	19.660834
تماس حاصل	19.647484
چنانچه	19.635490
بصورت	19.631892
درخواست خدمات	19.628535
پردازش بازپرداخت وصول	19.555605
a	19.539298
پستی	19.515534
پردازش واریز پیغام	19.514427
in	19.508330
مدیریت شعب	19.501761
درخواست شماره مشتری	19.443140
مشتری پردازش	19.430486
مالیاتی	19.420019
هنگی	19.391024
اقدام پردازش	19.370818
شماره کارت شماره	19.363326
شعبه افتتاح	19.319355
تسهیلات اساس	19.313253
درخواست تسهیلات اساس	19.313253
سنجش	19.298586
پردازش تصویب	19.291362
کارت وضعیت	19.290512
بررسی نمودن هنگی	19.273793
نمودن هنگی	19.273793
سفارش	19.241856
حساب پردازش	19.239597
پردازش مرکز گزارش	19.163451
میزان	19.122426
اسناد پیغام خطای	19.104602
یکسان	19.046464
سامانه مراجع	19.023367
سامانه مراجع ذیصلاح	19.023367
امور	18.979207
مدنی	18.959081
مذکور جهت بررسی	18.957888
مشتری بررسی	18.929899
حقوقی ثبتی	18.921981
فراگیر	18.921687
ثبت سفارش	18.898811
سریال بانک	18.893947
انجام صورت	18.863070
مشارکت مدنی	18.831617
لیست	18.805038
سری سریال بانک	18.802261
آنی کارت پیغام	18.797236
کلیه	18.795752
خطای تاریخ	18.783100
پیغام خطای تاریخ	18.783100
دریافت بررسی نمودن	18.767376
شماره مشتری کد	18.743236
دریافت گزارش	18.726482
فاقد اطلاعات	18.715736
واریز چک	18.639538
کد شعبه	18.632443
پایگاه	18.619495
نمایید دریافت جهت	18.601851
بروزرسانی مشتری حقوقی	18.579974
تسهیلات صدور	18.514879
تحویلی	18.507459
صورتی پردازش	18.468121
پردازش چاپ تحویل	18.448722
تسهیلات تعهدات	18.444968
اعطای تسهیلات صدور	18.416801
تسهیلات صدور ضمانتنامه	18.416801
رسانی	18.406889
ویرایش	18.376420
درگاه	18.358265
تحویل آنی	18.356585
پردازش درخواست خدمات	18.349232
اشکال پایگاه	18.341500
خطای اشکال پایگاه	18.341500
بازخرید	18.319263
حسابگری	18.304525
تحویل آنی کارت	18.293049
چاپ تحویل آنی	18.293049
خالی جهت	18.273137
حساب کوتاه	18.264362
نمونه	18.222685
خطای گزارش	18.188603
پیغام خطای گزارش	18.188603
شعبه گزارش پیگیری	18.182666
the	18.148283
دریافت صورتی	18.137035
محل ثبت	18.113494
اطلاعات تاریخ	18.098183
فروشگاهی	18.094118
نمودن هنگی پردازش	18.092218
هنگی پردازش	18.092218
هنگی پردازش مذکور	18.092218
استعلام کد شهاب	18.066023
حساب ارزی	18.031931
bm ارسال	18.003023
itsm bm ارسال	18.003023
کد پرسنلی	17.940275
مبالغ	17.928718
واریز چک بانکی	17.871426
طریق اقدام پردازش	17.866058
هزینه قانونی	17.863476
مانده انتقالی کاربر	17.853743
پردازش گزارش اطلاعات	17.853378
سامانه مدیریت	17.840882
جهت ثبت	17.824131
چک بانکی پیغام	17.818044
طریق گزارش	17.778167
موردی	17.748870
خطایی دریافت بررسی	17.747200
تایید درخواست	17.703990
دریافت چک	17.702824
ارزی پیغام	17.697172
پردازش تصویب پیشنهاد	17.696422
شناسه واریز	17.682016
حواله ساتنا	17.681262
اینترنتی اشخاص	17.661184
بانکداری اینترنتی اشخاص	17.661184
تائید	17.647917
گواهی سپرده	17.646601
سریال شناسه	17.643873
ملی صاحب	17.641880
گذشته	17.620432
ارسالی	17.615235
تحویل کارت	17.598951
گزارش فاقد	17.576024
حساب شماره درخواست	17.532268
کارت حقوقی	17.525783
سریال شناسه صیاد	17.476468
ایستگاه	17.465485
سری سریال شناسه	17.461698
ارزی پیغام خطای	17.441491
مشتری حقوقی ثبتی	17.428331
امضاء	17.400770
پوز فروشگاهی	17.397447
شماره دریافت کلید	17.355079
خطا دریافت جهت	17.352769
عودت	17.290402
کار	17.276099
گزارش فاقد اطلاعات	17.273834
ردیف واگذاری	17.222275
اقدام صورت رفع	17.220483
چکهای تحویلی	17.209092
طریق پردازش مرکز	17.201316
ایستگاه کاری	17.196608
بروزرسانی اطلاعات کاربران	17.195957
خطای گزارش فاقد	17.195115
اختیارات	17.160516
درخواست وضعیت	17.091805
تهران	17.081648
تاریخ انقضای	17.067037
شماره فراگیر	17.066226
اقدام نمود	17.046969
بانکی حساب	17.011328
صحت	17.011328
مالی اطلاعاتی	17.002405
شخص	16.997107
اطلاعات شماره پیشنهاد	16.992030
چک بانکی حساب	16.970402
پایان	16.968031
بانک پیغام	16.963817
همراه بانک پیغام	16.963817
خارج	16.947558
بانک مرکزی ثبت	16.930556
مرکزی ثبت	16.930556
پردازش بستن حساب	16.917264
حواله محل	16.910205
پردازش بروزرسانی اطلاعات	16.875768
کنترل	16.851588
دولت	16.841960
تخفیف کارمزد	16.829956
موجود دریافت	16.823123
شهرستان	16.820684
پردازش فروش	16.810520
چک نام	16.802391
سریال چک	16.782272
آرشیو	16.758607
گزارش مانده	16.757039
اطلاعات خطای	16.754638
بارگذاری	16.746274
فرابانک ملت	16.696824
مرکز ارتباط	16.677381
کارت ملی	16.667598
is not	16.659437
مرکزی ثبت اسناد	16.614630
حج	16.592433
تماس حاصل نمایند	16.589943
